(-10000, -9668)
(-9998, -9950)
(-9848, -9983)
(-9647, -9996)
(-3771, -9999)
(2393, -10000)
(4111, -10000)
(5322, -10000)
(7789, -9999)
(8806, -9998)
(9247, -9996)
(9622, -9990)
(9791, -9982)
(9984, -9962)
(9997, -9598)
(10000, -9442)
(9996, -8900)
(9985, -8231)
(8862, -8310)
(7213, -8428)
(4595, -8616)
(4595, -8616)
(7432, -8411)
(9012, -8290)
(9609, -8241)
(9900, -8193)
(9986, -8132)
(9996, -7717)
(9998, -7511)
(10000, -6112)
(10000, -5659)
(9977, -5474)
(9644, -5495)
(7209, -6011)
(7209, -6011)
(9647, -5489)
(9942, -5425)
(9986, -5264)
(9992, -5076)
(9997, -4533)
(9999, -2404)
(10000, -1150)
(10000, 933)
(9996, 2122)
(9988, 2383)
(9838, 2294)
(5969, -36)
(4687, -809)
(4052, -1192)
(4052, -1192)
(9911, 2344)
(9982, 2451)
(9998, 3014)
(9998, 3551)
(9995, 5973)
(9993, 6060)
(9958, 6228)
(9926, 6208)
(9412, 5801)
(5715, 2856)
(2573, 352)
(2573, 352)
(8377, 4978)
(9345, 5756)
(9998, 6321)
(9999, 7186)
(9999, 7994)
(9993, 8718)
(9980, 8730)
(9902, 8740)
(9634, 8504)
(9379, 8271)
(8445, 7409)
(7971, 6971)
(6409, 5526)
(3243, 2595)
(-2279, -2518)
(-2279, -2518)
(4286, 3562)
(9504, 8396)
(9947, 8817)
(9988, 8867)
(9997, 9531)
(9999, 9903)
(9988, 9975)
(9720, 9991)
(9505, 9999)
(6094, 10000)
(5969, 9999)
(5697, 9994)
(5338, 9981)
(5195, 9956)
(5136, 9909)
(5012, 9764)
(4796, 9486)
(4796, 9486)
(4815, 9513)
(4932, 9681)
(5137, 9978)
(5132, 9990)
(4976, 9993)
(4620, 9538)
(4620, 9538)
(4805, 9814)
(4833, 9902)
(4801, 9982)
(4702, 9997)
(4011, 10000)
(3393, 10000)
(-851, 10000)
(-1670, 9996)
(-2163, 9990)
(-2202, 9928)
(-2423, 9443)
(-2648, 8931)
(-2733, 8718)
(-3649, 6402)
(-3900, 5767)
(-5384, 2012)
(-5384, 2012)
(-3289, 7314)
(-2447, 9449)
(-2272, 9919)
(-2335, 9981)
(-2367, 10000)
(-2667, 9981)
(-2796, 9885)
(-2936, 9578)
(-3042, 9293)
(-4702, 4770)
(-4702, 4770)
(-4261, 5972)
(-3759, 7341)
(-3149, 9015)
(-2862, 9817)
(-2854, 9888)
(-2923, 9987)
(-3259, 9996)
(-3662, 9998)
(-4486, 9999)
(-5555, 9993)
(-5727, 9987)
(-5934, 9961)
(-6279, 8300)
(-6279, 8300)
(-6035, 9492)
(-6006, 9643)
(-5949, 9986)
(-6068, 9995)
(-6373, 9994)
(-6599, 9950)
(-6655, 9931)
(-6830, 9100)
(-6955, 8405)
(-8255, 696)
(-8255, 696)
(-6969, 8336)
(-6775, 9504)
(-6706, 9948)
(-6768, 9966)
(-7045, 9992)
(-7618, 9999)
(-7704, 10000)
(-9150, 9994)
(-9678, 9990)
(-9918, 9977)
(-9996, 9915)
(-10000, 9140)
(-10000, 7144)
(-10000, 6251)
(-10000, 3263)
(-10000, 2601)
(-10000, -3422)
(-10000, -5157)
(-10000, -9069)
